nofinesset;nofinessej;rs;rslongue;numvoie;compvoie;typvoie;voie;lieuditbp;departement;libdepartement;cp;commune;telephone;telecopie;dateouv;dateautor;datemaj;wgs84;lat;lng
780009130;780009122;PHARM PRIKER DEVI;;1;;PL;DU 19 MARS 1962;;78;YVELINES;78114;MAGNY LES HAMEAUX;130526954;130479310;17/01/1997;16/09/1977;25/08/2010;48.7186, 2.10234;48.718599999999995;2.10234
780009643;780009635;PHARM CENTRALE;;51;;RUE;NATIONALE;;78;YVELINES;78200;MANTES LA JOLIE;130334103;134799640;16/02/1993;30/06/1943;23/10/2006;48.99, 1.7162;48.99;1.7161999999999997
930012232;930002159;SELARL PHARM LAFAGE;;188;;RUE;DE BREMENT;;93;SEINE-SAINT-DENIS;93130;NOISY LE SEC;148434976;;29/03/1989;21/11/1969;22/06/2009;48.8872, 2.46653;48.8872;2.46653
930012521;930004668;SELARL PHARM HOCHE;;55;;RUE;HOCHE;;93;SEINE-SAINT-DENIS;93500;PANTIN;148450119;;26/09/1978;12/02/1943;25/08/2010;48.895, 2.40109;48.894999999999996;2.40109
930012752;930012745;PHARMACIE DU PORT DE PANTIN;;148;;AVENUE;JEAN LOLIVE;;93;SEINE-SAINT-DENIS;93500;PANTIN;148451225;;05/11/2007;12/02/1943;28/11/2008;48.894, 2.41748;48.894;2.41748
930012786;930012760;PHARM LEGALL HERVE;;44;;RUE;MAGENTA;;93;SEINE-SAINT-DENIS;93500;PANTIN;148452362;;17/01/1991;15/05/1943;24/06/2009;48.9003, 2.39495;48.9003;2.39495
930013107;930020235;SELAS PHARMACIE DE L'ESTREE;;46;;RUE;NUNGESSER ET COLI;;93;SEINE-SAINT-DENIS;93380;PIERREFITTE SUR SEINE;148228643;;26/11/1987;13/11/2001;20/04/2011;48.9515, 2.36181;48.9515;2.36181
930014121;930014113;SNC PHARMACIE DU CENTRE BASILIQUE;;1;;PL;DE LA HALLE;;93;SEINE-SAINT-DENIS;93200;ST DENIS;155872424;155872425;01/04/1980;28/10/1953;29/12/2009;48.9376, 2.35798;48.9376;2.35798
930014501;930014493;PHARM DRAI JEAN JACQUES;;38;;RUE;HENRI BARBUSSE;;93;SEINE-SAINT-DENIS;93200;ST DENIS;148271329;;28/12/1984;29/04/1943;25/08/2010;48.9408, 2.372;48.94080000000001;2.3719999999999994
930014766;930014741;PHARM NGUYEN DINH THANG;;2;;PL;DE LA RESISTANCE;;93;SEINE-SAINT-DENIS;93200;ST DENIS;148200118;;24/06/1987;28/04/1943;25/08/2010;48.933, 2.35529;48.93300000000001;2.35529
930014782;930004809;SELARL PHARMACIE DE L'UNIVERSITE;;42;;AVENUE;DE STALINGRAD;;93;SEINE-SAINT-DENIS;93200;ST DENIS;148221017;;01/05/2008;28/04/1943;25/08/2010;48.9459, 2.36698;48.945899999999995;2.3669800000000003
930014907;930014881;PHARM FEUILLY ET HIGELIN;;40;;RUE;ADRIEN LESESNE;;93;SEINE-SAINT-DENIS;93400;ST OUEN;140117006;;05/04/1990;24/04/1954;06/07/2009;48.9031, 2.3484;48.9031;2.3484
930014956;930014931;PHARMACIE OTTINO;;24;;RUE;CHARLES SCHMIDT;;93;SEINE-SAINT-DENIS;93400;ST OUEN;140110376;;01/07/2008;29/04/1943;03/10/2008;48.9046, 2.33306;48.9046;2.33306
930014972;930014964;PHARM EL AFLAHI LOUIS;;2;;RUE;CLAUDE MONET;;93;SEINE-SAINT-DENIS;93400;ST OUEN;148110970;;27/07/1989;29/04/1943;14/12/2009;48.9107, 2.33783;48.910700000000006;2.33783
930015185;930015177;PHARM NILLES J L ET HALOUA CATHY;;102;;AVENUE;MICHELET;;93;SEINE-SAINT-DENIS;93400;ST OUEN;140110753;;10/08/1988;29/04/1943;25/06/2009;48.9057, 2.34398;48.905699999999996;2.34398
930015334;930015326;PHARMACIE BERY;;;;AVENUE;DU CDT CHARCOT;;93;SEINE-SAINT-DENIS;93270;SEVRAN;143835307;;16/07/2007;10/05/1996;04/05/2009;48.9352, 2.51838;48.9352;2.51838
930015953;930015946;PHARM COHEN SYLVAIN;;148;;AVENUE;DE STALINGRAD;;93;SEINE-SAINT-DENIS;93240;STAINS;148266670;;29/07/1965;29/07/1965;30/06/2009;48.9516, 2.38839;48.95159999999999;2.38839
930016050;930010889;PHARMACIE DES COTTAGES;;;;RUE;HECTOR BERLIOZ;;93;SEINE-SAINT-DENIS;93290;TREMBLAY EN FRANCE;148611143;;15/10/2005;18/06/1979;25/08/2010;48.9606, 2.57572;48.960599999999985;2.57572
930016456;930016431;PHARMACIE  DE LA GRANDE RUE;;71;;;GRANDE RUE;;93;SEINE-SAINT-DENIS;93250;VILLEMOMBLE;148540975;;01/04/2005;23/05/1955;22/06/2005;48.8829, 2.51445;48.8829;2.51445
930016571;930016563;PHARM VACHET NICOLE;;30;;AVENUE;DU ROND POINT;;93;SEINE-SAINT-DENIS;93250;VILLEMOMBLE;148543731;;28/05/1981;28/12/1948;05/06/2009;48.8868, 2.50011;48.886799999999994;2.50011
930019252;930019245;PHARM DUCHON PEZZANA;;2;;ALL;DE L'EST;;93;SEINE-SAINT-DENIS;93190;LIVRY GARGAN;;;23/10/2000;22/06/2000;25/08/2010;48.9287, 2.55294;48.928700000000006;2.5529399999999995
930019328;930019278;PHARMACIE JAURES;;24;;AVENUE;JEAN JAURÈS;;93;SEINE-SAINT-DENIS;93220;GAGNY;;;15/02/2007;28/07/2006;25/08/2010;48.8834, 2.52872;48.88339999999999;2.5287200000000003
950004754;950004747;PHARM HAMIDI FRANCO L;;25;;AVENUE;MAURICE UTRILLO;;95;VAL D'OISE;95100;ARGENTEUIL;139614628;139473182;20/06/1990;01/07/1952;25/08/2010;48.9413, 2.23444;48.941300000000005;2.23444
950005132;950005124;PHARM MOREAU;;76;;AVENUE;DE VERDUN;;95;VAL D'OISE;95100;ARGENTEUIL;139825369;139804489;09/03/1994;28/02/1990;25/08/2010;48.9515, 2.24443;48.9515;2.24443
950005306;950005280;PHARM  LEFEVRE;;23;;RUE;D AVAL EAU;;95;VAL D'OISE;95270;ASNIERES SUR OISE;130353676;134093104;29/01/2007;02/12/1980;25/08/2010;49.1325, 2.35606;49.1325;2.35606
950005355;950005330;PHARM VERNIER;;33;;RUE;DU POIS;;95;VAL D'OISE;95430;AUVERS SUR OISE;130367049;130368366;29/03/2006;31/10/1951;25/08/2010;49.0703, 2.17141;49.07030000000001;2.17141
950005470;950005462;PHARMACIE MAILLARD;;2;;RUE;ALBERT 1ER;;95;VAL D'OISE;95260;BEAUMONT SUR OISE;134700032;134700263;13/12/1990;28/06/1943;09/05/2011;49.1429, 2.28664;49.1429;2.2866400000000002
950005835;950005827;PHARM AKBARALY;;38;;RUE;JEAN JAURES;;95;VAL D'OISE;95870;BEZONS;130766991;139471266;21/02/1980;29/01/1944;25/08/2010;48.9279, 2.22338;48.927899999999994;2.22338
950006023;950006015;PHARM HELIAS;;71;;RUE;DE PARMAIN;;95;VAL D'OISE;95430;BUTRY SUR OISE;134730617;;01/09/2000;15/06/1966;25/08/2010;49.0864, 2.19666;49.086400000000005;2.19666
950006106;950006080;PHARM DE LA PREFECTURE;;;;;LE PARVIS DE PREFECT;;95;VAL D'OISE;95000;CERGY;130732150;134241737;22/12/1994;17/11/1970;11/04/1997;49.036, 2.07762;49.036000000000016;2.07762
950006817;950006791;PHARM MORISSEAU J FRANCOIS M;;1;B;ROUTE;ST DENIS;;95;VAL D'OISE;95170;DEUIL LA BARRE;139831603;139831603;04/09/1980;15/05/1943;25/08/2010;48.9595, 2.32766;48.959499999999984;2.32766
950007021;950007013;PHARM MARCHAND ET DURAND;;67;;RUE;DU GENERAL LECLERC;;95;VAL D'OISE;95600;EAUBONNE;139594514;139594215;26/07/1990;03/10/1961;01/12/2004;48.9851, 2.2727;48.98509999999998;2.2727
950007054;950007047;PHARM TRUONG LE HONG;;58;;RUE;GEORGES V;;95;VAL D'OISE;95600;EAUBONNE;139591898;;23/06/1989;16/04/1956;03/09/2008;48.9895, 2.26676;48.98950000000001;2.26676
950007252;950007245;PHARM GAIGNARD CHRISTOPHE;;15;B;RUE;DE L ARRIVEE;;95;VAL D'OISE;95880;ENGHIEN LES BAINS;139646703;134120283;13/12/1990;19/08/1943;25/08/2010;48.9725, 2.30709;48.97249999999999;2.30709
950007534;950007526;PHARM JULLIEN;;;;PLE;DU MARCHE;CENTRE COMMERCIAL LA CHALLE;95;VAL D'OISE;95610;ERAGNY SUR OISE;130370457;130377687;05/08/2002;25/07/2002;19/09/2007;49.018621, 2.099868;49.018621;2.099868
950007633;950007625;PHARM WEBER BRUNO;;280;;RUE;DU GENERAL LECLERC;;95;VAL D'OISE;95120;ERMONT;134130714;130724725;01/03/1989;26/09/1961;25/08/2010;48.9823, 2.27139;48.98229999999999;2.27139
950007807;950007781;PHARM  DESTOMBES;;35;;RUE;DE STALINGRAD;;95;VAL D'OISE;95120;ERMONT;134158559;134154131;16/08/1976;24/07/1943;25/08/2010;48.9873, 2.2575;48.98729999999998;2.2575
950007823;950007815;PHARM LEFEVRE JAOUEN;;2;;RUE;JACQUES GALLICHER;;95;VAL D'OISE;95460;EZANVILLE;139919489;139352753;01/08/2002;24/07/2002;09/07/2007;49.0313, 2.36273;49.031299999999995;2.36273
950008086;950008060;PHARM MOSER CATHERINE;;108;;RUE;DU GENERAL LECLERC;;95;VAL D'OISE;95130;FRANCONVILLE LA GARENNE;134136926;134134220;10/05/1983;29/06/1943;25/08/2010;48.9838, 2.2283;48.98379999999999;2.2283
950008151;950008144;PHARM DUPLAIX;;360;;RUE;DU GENERAL LECLERC;32 CTRE COMMERCIAL DU PARISIS;95;VAL D'OISE;95130;FRANCONVILLE LA GARENNE;130722932;130722779;01/11/2002;26/09/2002;25/08/2010;48.9897, 2.20528;48.98969999999998;2.20528
950008300;950008292;PHARM SANCHEZ;;123;T;BOULEVARD;DE PONTOISE;;95;VAL D'OISE;95530;LA FRETTE SUR SEINE;134508844;139971886;30/12/2006;30/06/1943;25/08/2010;48.9802, 2.18272;48.9802;2.18272
950008466;950008441;PHARM LAHUNA;;40;;AVENUE;JOLIOT CURIE;;95;VAL D'OISE;95140;GARGES LES GONESSE;139866445;139866445;12/08/1974;22/04/1974;10/04/2006;48.9741, 2.415;48.97409999999997;2.415
950008516;950008490;PHARM FIOT CHRISTIAN;;;;BOULEVARD;DE LA MUETTE;;95;VAL D'OISE;95140;GARGES LES GONESSE;139862324;139862062;17/08/1993;21/10/1987;25/08/2010;48.9746, 2.4162;48.974599999999995;2.4162
950008706;950008680;PHARM PELLETIER JEAN;;8;;RUE;D ARNOUVILLE;;95;VAL D'OISE;95500;GONESSE;139851019;139851019;03/05/1985;12/03/1958;25/08/2010;48.9843, 2.43899;48.984300000000005;2.4389900000000004
950008722;950008714;PHARM ZEROUALI;;5;;SQUARE;DES SPORTS;;95;VAL D'OISE;95500;GONESSE;139851792;139851792;31/03/1980;18/11/1963;09/05/2011;49.0025, 2.42395;49.00249999999998;2.42395
950008755;950008730;PHARM FAUCHEUX L;;7;;AVENUE;GABRIEL PERI;;95;VAL D'OISE;95500;GONESSE;139873870;139873870;19/06/1989;24/05/1983;25/08/2010;48.9953, 2.42196;48.99529999999999;2.42196
950009837;950009811;PHARM COHEN GIAOUI;;2;T;RUE;ROGER SALENGRO;;95;VAL D'OISE;95670;MARLY LA VILLE;134723260;134726450;25/06/1996;11/06/1969;25/08/2010;49.0796, 2.50132;49.079599999999985;2.50132
950009951;950009944;PHARM HEMIDY-FRICAUX;;;;;ROUTE DE PONTOISE;;95;VAL D'OISE;95540;MERY SUR OISE;134215056;134215611;01/10/2006;23/02/1993;25/08/2010;49.0593, 2.16532;49.0593;2.16532
950010496;950010470;PHARM ALIMI SOFIYAT;;110;;AVENUE;DE DOMONT;;95;VAL D'OISE;95160;MONTMORENCY;139896384;139342795;29/05/1996;01/04/1996;08/12/2004;49.009, 2.31328;49.00899999999998;2.31328
950010660;950010652;PHARM BRIEL;;;;CHE;DES HAYETTES;CENTRE COMMERCIAL LECLERC;95;VAL D'OISE;95520;OSNY;130732027;130732949;24/09/2003;23/09/2003;25/08/2010;49.0687, 2.08742;49.068699999999986;2.08742
950010975;950010967;PHARM NEBOUT;;2;;RUE;CHARLES DE GAULLE;;95;VAL D'OISE;95130;LE PLESSIS BOUCHARD;134137499;134131634;02/10/2006;26/10/1960;25/08/2010;48.9969, 2.23699;48.996900000000004;2.23699
950011247;950011221;PHARM LEJOUR;;15;;QU;DU POTHUIS;;95;VAL D'OISE;95300;PONTOISE;130730003;130301564;07/04/1989;25/10/1979;25/08/2010;49.0495, 2.10274;49.04950000000001;2.10274
950011643;950011635;PHARM SNC JOLIVET;;40;;RUE;SOEUR ANGELE;;95;VAL D'OISE;95210;ST GRATIEN;139893733;134120898;29/04/1989;04/10/1965;25/08/2010;48.9699, 2.28848;48.96990000000001;2.28848
950012575;950012567;PHARMACIE TAN EDITH;;2;;BOULEVARD;MAURICE RAVEL;;95;VAL D'OISE;95200;SARCELLES;139862007;139936521;01/10/1998;24/09/1998;15/03/2005;48.9736, 2.3822;48.97359999999998;2.3822
950012625;950012617;PHARM HAJ BELGACEM;;;;AVENUE;PAUL VALERY;;95;VAL D'OISE;95200;SARCELLES;139902476;139902476;20/09/1991;24/07/1962;25/08/2010;48.9782, 2.38766;48.97820000000001;2.3876599999999994
950012690;950012682;PHARM HUYNH GUOI;;115;;RUE;PIERRE BROSSOLETTE;;95;VAL D'OISE;95200;SARCELLES;139900196;139335065;13/02/2006;18/04/1955;25/08/2010;48.9946, 2.37875;48.9946;2.37875
940005283;940005275;PHARM PIN DAVID;PHARMACIE DU BORD DE SEINE;12;;RUE;DU BAC;;94;VAL DE MARNE;94480;ABLON SUR SEINE;145971412;;07/08/1986;24/11/1961;25/08/2010;48.7225, 2.41855;48.722499999999975;2.4185500000000006
940005655;940005630;PHARM GREMEAUX;PHARMACIE DES GOUJONS;4;;SEN;DE VILLIERS;;94;VAL DE MARNE;94140;ALFORTVILLE;143760303;;27/01/1988;08/01/1979;25/08/2010;48.7861, 2.42553;48.78609999999998;2.42553
940005523;940005515;PHARM FROT JEAN GABRIEL;;158;;RUE;PAUL VAILLANT COUTURIER;;94;VAL DE MARNE;94140;ALFORTVILLE;143751555;;12/07/1995;25/02/1943;25/08/2010;48.8058, 2.41871;48.80579999999999;2.41871
940005507;940005481;PHARM DAYAN GUILLARD;;95;;RUE;VAILLANT COUTURIER;;94;VAL DE MARNE;94140;ALFORTVILLE;143751512;;03/07/1985;25/02/1943;25/08/2010;48.8099, 2.41718;48.80989999999999;2.41718
940006034;940006026;PHARM LEGROS;;26;;AVENUE;AUGUSTE GROSS;;94;VAL DE MARNE;94380;BONNEUIL SUR MARNE;143396237;;01/12/1986;25/02/1943;25/08/2010;48.7742, 2.48267;48.77419999999998;2.48267
940005721;940005713;PHARM BLOND;;39;;RUE;EMILE RASPAIL;;94;VAL DE MARNE;94110;ARCUEIL;145472099;;17/04/1975;12/02/1943;25/08/2010;48.8021, 2.33153;48.802099999999996;2.33153
940007636;940007610;PHARM RUIZ;PHARMACIE DE LA MAIRIE;25;B;RUE;DU GENERAL DE GAULLE;;94;VAL DE MARNE;94430;CHENNEVIERES SUR MARNE;145760123;;27/06/1980;04/12/1972;21/08/2006;48.7964, 2.53041;48.79639999999999;2.53041
940006521;940006513;PHARM BAUMANN;;51;;RUE;DES VIGNES;;94;VAL DE MARNE;94230;CACHAN;146640561;;20/12/1993;12/02/1943;25/08/2010;48.7925, 2.34005;48.792500000000004;2.34005
940011075;940011067;PHARM TALBOT;;36;;RUE;HENRI BARBUSSE;;94;VAL DE MARNE;94450;LIMEIL BREVANNES;145694079;;21/05/1986;11/09/1945;25/08/2010;48.7512, 2.48806;48.751199999999976;2.48806
940007016;940006992;PHARM FAMBITAKOYE;;223;;AVENUE;MAURICE THOREZ;;94;VAL DE MARNE;94500;CHAMPIGNY SUR MARNE;148807869;;24/07/1990;27/12/1962;25/08/2010;48.8161, 2.53858;48.816100000000006;2.53858
940008733;940008725;PHARM CHELLY;PHARMACIE DU PALAIS;18;;ALL;PARMENTIER;;94;VAL DE MARNE;94000;CRETEIL;148997103;;13/11/1974;07/10/1974;14/12/2009;48.787, 2.44588;48.787;2.44588
940008121;940008113;PHARM INAOUI;PHARMACIE DES 2 PONTS;17;;AVENUE;VICTOR HUGO;;94;VAL DE MARNE;94600;CHOISY LE ROI;148908717;;18/03/1983;10/03/1943;20/04/2011;48.7672, 2.41488;48.76719999999999;2.41488
940010036;940010010;PHARM GUSMINI;;1;;RUE;AMEDEE HUON;;94;VAL DE MARNE;94200;IVRY SUR SEINE;146725736;;31/03/1988;09/04/1969;02/07/2009;48.8036, 2.38335;48.80359999999999;2.38335
940009467;940009442;PHARM MARTIN;;21;;AVENUE;DE LA PAIX;;94;VAL DE MARNE;94260;FRESNES;146682532;;27/02/1996;12/07/1971;25/08/2010;48.759, 2.32936;48.75900000000001;2.32936
940010747;940010721;PHARM DOSNE OLIVIER;;36;;RUE;DE PARIS;;94;VAL DE MARNE;94340;JOINVILLE LE PONT;148833448;;07/12/1988;12/02/1943;13/07/2009;48.8176, 2.46677;48.817599999999985;2.4667699999999995
940010135;940010127;PHARM MARTIN;PHARMACIE PRINCIPALE;17;;RUE;GABRIEL PERI;;94;VAL DE MARNE;94200;IVRY SUR SEINE;146720339;;26/06/1991;21/04/1943;02/07/2009;48.8126, 2.3839;48.81260000000001;2.3839
940008436;940008410;PHARM RAZAFIMANOHIHAJA;;5;;PL;GABRIEL FAURE;;94;VAL DE MARNE;94000;CRETEIL;143775776;;04/01/1994;09/08/1967;25/08/2010;48.7793, 2.46242;48.779299999999985;2.46242
940009350;940009343;PHIE MYRE-LAHLOU;PHARMACIE DU CENTRE CHARCOT;10;;RUE;DU DOCTEUR CHARCOT;;94;VAL DE MARNE;94260;FRESNES;146600565;;04/07/1990;10/06/1966;08/04/2011;48.7623, 2.32794;48.762299999999996;2.32794
940009806;940009780;PHARM RUIZ THIBAULT;;155;;RUE;DE BICETRE;;94;VAL DE MARNE;94240;L HAY LES ROSES;146865594;;30/11/1995;29/04/1959;10/02/2009;48.7787, 2.35476;48.778699999999986;2.35476
940007651;940007644;PHARM BAILLY;;23;;ROUTE;DE LA LIBERATION;;94;VAL DE MARNE;94430;CHENNEVIERES SUR MARNE;145760722;;25/03/1996;04/07/1990;25/08/2010;48.8015, 2.54102;48.80149999999999;2.54102
940011141;940011133;PHARM DEGRANDI;;26;;AVENUE;DE VERDUN;;94;VAL DE MARNE;94450;LIMEIL BREVANNES;145696237;;14/01/1987;01/10/1965;25/08/2010;48.7498, 2.48106;48.749799999999986;2.48106
940011364;940011356;PHARM VALLA;;1;;AVENUE;DU GENERAL LECLERC;;94;VAL DE MARNE;94700;MAISONS ALFORT;143680918;;09/10/1963;25/02/1943;25/08/2010;48.8156, 2.42057;48.81559999999999;2.4205699999999997
940010861;940010853;PHARM BENSOUDA GHIZLANE;PHARMACIE DE L'HOPITAL;9;;AVENUE;EUGENE THOMAS;;94;VAL DE MARNE;94270;LE KREMLIN BICETRE;146722018;;23/03/1994;18/12/1990;02/07/2009;48.8096, 2.36107;48.80960000000001;2.36107
940010242;940010234;BENDJEDDOU SONIA;;21;;RUE;JEAN PERRIN;;94;VAL DE MARNE;94200;IVRY SUR SEINE;146720754;;01/04/2013;01/04/2013;17/07/2013;48.8126, 2.37642;48.81260000000001;2.3764199999999995
940011810;940011802;PHARM KORCHIA;;32;;BOULEVARD;GALLIENI;;94;VAL DE MARNE;94130;NOGENT SUR MARNE;148730147;;09/02/1994;24/06/1943;02/07/2009;48.8402, 2.48492;48.84019999999999;2.48492
940012495;940012487;PHARM JOST;;117;;BOULEVARD;D'ALSACE LORRAINE;;94;VAL DE MARNE;94170;LE PERREUX SUR MARNE;143244144;;21/03/1986;28/05/1943;02/06/2009;48.851, 2.50421;48.85099999999999;2.50421
940012180;940012172;PHARM MIMOUN;;10;;RUE;JEAN RACINE;;94;VAL DE MARNE;94310;ORLY;148841386;;27/11/1996;04/10/1961;25/08/2010;48.7474, 2.406;48.747399999999985;2.406
940013741;940013733;PHARM GOUILLON THI LANH;;38;;AVENUE;DU BAC;;94;VAL DE MARNE;94210;LA VARENNE ST HILAIRE;148831189;;05/08/1988;20/10/1943;25/08/2010;48.796044, 2.507606;48.796044;2.507606
940011265;940011257;PHARM MAURY;;158;;AVENUE;GAMBETTA;;94;VAL DE MARNE;94700;MAISONS ALFORT;142071593;;09/03/1989;10/01/1955;25/08/2010;48.8097, 2.45251;48.80969999999999;2.45251
940014343;940014335;PHARM GODET;PHARMACIE DES NYMPHEAS;1;;RUE;DE LA FRATERNITE;;94;VAL DE MARNE;94320;THIAIS;146810918;145739577;19/08/1986;28/07/1961;25/08/2010;48.7664, 2.38811;48.766399999999976;2.38811
940015977;940015951;PHARM  BELALLAM MALIKA;PHARMACIE DIDEROT;2;;PL;JEAN SPIRE LEMAITRE;;94;VAL DE MARNE;94300;VINCENNES;143281664;;30/04/1986;10/06/1943;16/12/2008;48.847, 2.45255;48.846999999999994;2.45255
940010580;940010572;PHARM NGUYEN THI NHU HANG;;16;;AVENUE;DE VERDUN;;94;VAL DE MARNE;94200;IVRY SUR SEINE;146722575;;12/08/1985;21/04/1943;26/02/2009;48.8159, 2.36781;48.815899999999985;2.3678099999999995
940011596;940011570;PHARM PUCCI;;20;;RUE;DU MARECHAL JUIN;;94;VAL DE MARNE;94700;MAISONS ALFORT;143680950;;24/01/1974;10/03/1943;25/08/2010;48.8154, 2.42959;48.8154;2.42959
940013980;940013972;PHARM LEROUX;PHARMACIE MONTGOLFIER;10;;PL;MONTGOLFIER;;94;VAL DE MARNE;94410;ST MAURICE;148865160;;26/09/1994;22/06/1994;25/08/2010;48.8147, 2.45939;48.81469999999999;2.45939
940013113;940013105;PHARM VARIN;PHARMACIE DU ROCHER;87;;AVENUE;DU GENERAL DE GAULLE;;94;VAL DE MARNE;94160;ST MANDE;143281316;;26/11/1987;02/11/1943;25/08/2010;48.837, 2.41849;48.83700000000001;2.4184900000000003
940014764;940014756;PHARM MOUNGANG MEJIONANG;PHARMACIE DES ACACIAS;1;;RUE;EMILE ZOLA;;94;VAL DE MARNE;94800;VILLEJUIF;146782633;;19/01/1993;07/10/1965;29/09/2008;48.8023, 2.36986;48.802299999999995;2.36986
940013931;940013923;PHARM KEM CHHOEUN;PHARMACIE DES 2 COMMUNES;46;;AVENUE;MAL LATTRE DE TASSIGNY;;94;VAL DE MARNE;94410;ST MAURICE;143682033;;26/11/1968;28/05/1943;25/08/2010;48.8217, 2.41988;48.82169999999999;2.41988
940015043;940015035;PHARM NOTO;PHARMACIE DE L INSTITUT;45;;AVENUE;P V COUTURIER;;94;VAL DE MARNE;94800;VILLEJUIF;147263875;;27/01/1988;14/11/1946;25/08/2010;48.7946, 2.36137;48.79459999999998;2.3613700000000004
940016413;940016405;PHARM COLIVET;;77;;RUE;DE CHOISY;;94;VAL DE MARNE;94400;VITRY SUR SEINE;146800131;;15/04/1962;14/03/1962;25/08/2010;48.7842, 2.40072;48.78419999999998;2.4007199999999997
940017221;940017213;PHARM KADDOUZ;;3;;AVENUE;AUGUSTE RODIN;;94;VAL DE MARNE;94350;VILLIERS SUR MARNE;149300042;;07/04/1997;13/03/1997;25/08/2010;48.8325, 2.55191;48.832499999999996;2.55191
940016892;940016884;PHARM MILLORD;;5;;BOULEVARD;DE STALINGRAD;;94;VAL DE MARNE;94400;VITRY SUR SEINE;146823626;;09/11/1981;30/04/1972;12/07/2010;48.7953, 2.38395;48.795300000000005;2.38395
940016462;940016454;PHARM SOU;PHARMACIE DU PLATEAU;109;;AVENUE;DU COLONEL FABIEN;;94;VAL DE MARNE;94400;VITRY SUR SEINE;147261246;147269480;20/11/1996;02/07/1996;25/08/2010;48.7865, 2.3769;48.78649999999999;2.3769
940019334;940019326;PHARM BELHASSEN;;3;;RUE;SADI CARNOT;;94;VAL DE MARNE;94880;NOISEAU;145905795;;22/05/2000;27/07/1999;02/07/2009;48.7764, 2.55161;48.7764;2.55161
770003994;770014728;PHARMACIE CENTRALE DU VIEUX PONT;SELARL PHARMACIE CENTRALE DU VIEUX PONT;;;;37 GRANDE RUE;;77;SEINE-ET-MARNE;77480;BRAY SUR SEINE;160671014;160672791;01/10/2006;13/03/1998;25/08/2010;48.416, 3.2375;48.416;3.2374999999999994
770004265;770008688;SELARL GRANDE PHARMACIE DE BOISSENART;MR LATRIVE - MR JOLY - MME DOGBEAUVOU;;;CTRE;COMMERCIAL DE BOISSENART;;77;SEINE-ET-MARNE;77240;CESSON;160630503;160638088;01/02/2005;15/01/1977;14/01/2011;48.588332, 2.600486;48.588332;2.600486
770004596;770004570;PHARMACIE DESCARTES;PHARMACIE D'OFFICINE DESCARTES;7;;AVENUE;AMPERE;;77;SEINE-ET-MARNE;77420;CHAMPS SUR MARNE;164689622;160175311;11/05/1992;31/01/1992;11/01/2011;48.8443, 2.58343;48.8443;2.58343
750023756;750023731;SELARL LAV;;172;;RUE;D ALESIA;;75;PARIS;75014;PARIS 14;145431924;145432923;01/07/2010;10/07/1945;21/07/2011;48.83190572, 2.31381029;48.83190572;2.31381029
750024085;750024077;SELARL PHARMACIE EDGAR QUINET;;43;;RUE;DELAMBRE;54 BD EDGAR QUINET;75;PARIS;75014;PARIS 14;143207012;143202920;01/07/2010;10/11/1942;21/07/2011;48.8415816, 2.3272382;48.8415816;2.3272382
750024200;750024192;PHARMACIE DE LA POSTE;;4;;RUE;ERNEST CRESSON;;75;PARIS;75014;PARIS 14;145393035;145432296;01/06/2008;04/12/1942;20/01/2009;48.8324976, 2.3297734;48.8324976;2.3297734
750024283;750024275;PHARMACIE DU LION;;7;;AVENUE;DU GENERAL LECLERC;;75;PARIS;75014;PARIS 14;143212339;143213166;01/02/2013;30/10/1942;22/02/2013;48.833355, 2.3315621;48.833355;2.3315621
750024382;750024374;PHARMACIE OUAZANA;;24;;AVENUE;JEAN MOULIN;;75;PARIS;75014;PARIS 14;145420337;145422219;30/01/2006;17/01/1944;10/07/2009;48.8259048, 2.3223627;48.8259048;2.3223627
750025223;750025215;PHARMACIE BALARD;;3;;PL;BALARD;;75;PARIS;75015;PARIS 15;145548271;145548271;29/12/1989;07/12/1942;10/07/2009;48.8369098, 2.2790555;48.8369098;2.2790555
750025322;750025314;PHARM PLACE CAMBRONNE;;6;;PL;CAMBRONNE;;75;PARIS;75015;PARIS 15;145671286;;03/09/1990;16/07/1943;10/07/2009;48.84765565, 2.30209172;48.84765565;2.3020917199999995
750025587;750025561;SELARL PHIE CONVENTION ST CHARLES;;55;B;RUE;DE LA CONVENTION;;75;PARIS;75015;PARIS 15;145775794;140599403;10/06/2011;11/11/1942;25/07/2011;48.8399936, 2.2903367;48.8399936;2.2903367
750025702;750025694;PHARM HADDAD JAOUDI;;242;;RUE;DE LA CONVENTION;;75;PARIS;75015;PARIS 15;148289698;148289698;30/10/1990;15/05/1943;25/08/2010;48.8357916, 2.3010819;48.8357916;2.3010819
750025785;750025777;SELARL PHARMACIE VILLA CROIX NIVERT;;14;;;VILLA CROIX NIVERT;15 RUE AMIRAL ROUSSIN;75;PARIS;75015;PARIS 15;145672141;145672141;01/08/2011;24/06/1943;21/09/2011;48.8456956, 2.300052;48.8456956;2.300052
750026023;750026015;PHARMACIE FELIX FAURE;;19;;AVENUE;FELIX FAURE;;75;PARIS;75015;PARIS 15;145577237;145579535;01/09/2008;28/04/1943;29/09/2008;48.8420925, 2.2906251;48.8420925;2.2906251
